Street,City,Zipcode,Price,Zestimate,Bedroom,Bathroom,Year_Built,Living_Area,Home_Type,Lot_Size(Sqft),HOA_Per_Month,Last_Sold_Price,hasHeating,hasCooling,furnished,hasOpenParking,hasCarport,isNewConstruction,hasHomeWarranty,Is_New_Home,Is_For_Auction,Is_Bank_Owned,Price_History,Date,MonthYear_value,Year,avg_school_rating
2028 Oak Creek Pl,HAYWARD,94541,549950,597032,2,3.0,1972,1542,TOWNHOUSE,962,423,231000,True,True,False,False,False,False,False,False,False,False,549950,2020-09-23,2020-09,2020,3
213 Skyline Dr,SAN RAMON,94583,585000,585004,2,2.0,1996,995,CONDO,944,430,510000,True,True,False,False,False,False,False,False,False,False,585000,2020-09-18,2020-09,2020,8
2400 Carmel St,OAKLAND,94602,799000,997802,2,1.0,1943,1145,SINGLE_FAMILY,4782,0,232000,unknow,unknow,False,False,False,False,False,False,False,False,799000,2020-09-18,2020-09,2020,2
6086 Hillbrook Pl,DUBLIN,94568,875000,885670,3,4.0,2006,1692,SINGLE_FAMILY,1825,184,655000,True,True,False,False,False,False,False,False,False,False,875000,2020-09-24,2020-09,2020,9
4837 Saginaw Cir,PLEASANTON,94588,668000,682506,3,2.0,1973,1130,TOWNHOUSE,901,292,450000,True,True,False,False,False,False,False,False,False,False,668000,2020-09-05,2020-09,2020,9
2738 106th Ave,OAKLAND,94605,569900,623465,2,1.0,1938,1007,SINGLE_FAMILY,4939,0,515000,True,True,False,False,False,False,False,False,False,False,569900,2020-09-23,2020-09,2020,6
341 Goldfield Pl,SAN RAMON,94582,1365000,1372277,4,3.0,2016,2534,SINGLE_FAMILY,2922,99,1144500,True,True,False,False,False,False,False,False,False,False,1365000,2020-09-19,2020-09,2020,8
4246 Miramonte Way,UNION CITY,94587,579000,611165,3,2.0,1972,1298,TOWNHOUSE,1520,250,427500,True,True,False,False,False,False,False,False,False,False,579000,2019-11-05,2019-11,2019,6
34885 Herringbone Way,UNION CITY,94587,1079999,1088768,4,3.0,1997,1859,SINGLE_FAMILY,3463,0,451000,True,True,False,False,False,False,False,False,False,False,1079999,2020-09-25,2020-09,2020,5
2320 10th St,BERKELEY,94710,999000,1360331,5,3.0,1911,2509,MULTI_FAMILY,4334,0,360500,True,True,False,False,False,False,False,False,False,False,999000,2020-09-25,2020-09,2020,8
3927 Reinhardt Dr,OAKLAND,94619,1089000,1031800,4,3.0,1945,2479,SINGLE_FAMILY,9199,0,633000,True,True,False,False,False,False,False,False,False,False,1089000,2020-09-22,2020-09,2020,1
183 Douglas Ct,MILPITAS,95035,1549000,1578154,4,3.0,1999,2247,SINGLE_FAMILY,3554,168,928000,True,True,False,False,False,False,False,False,False,False,1549000,2020-09-16,2020-09,2020,7
4827 Ganner Ct,PLEASANTON,94566,1599000,1622066,4,4.0,1971,3059,SINGLE_FAMILY,9853,0,655000,True,True,False,False,False,False,False,False,False,False,1599000,2020-09-23,2020-09,2020,8
34601 Shiloh Dr,UNION CITY,94587,1126987,1126987,4,2.5,1999,1881,SINGLE_FAMILY,4573,0,369000,unknow,unknow,False,False,False,False,False,False,False,False,369000,1999-12-16,1999-12,1999,5
4127 Lunar Way,UNION CITY,94587,539271,539271,2,1.0,1970,856,SINGLE_FAMILY,1698,288,288000,False,False,False,False,False,unknow,False,False,False,False,288000,2004-06-18,2004-06,2004,5
3181 Monroe St,SANTA CLARA,95051,998888,1044348,3,1.0,1954,897,SINGLE_FAMILY,5636,0,331500,True,True,False,False,False,False,False,False,False,False,998888,2020-08-22,2020-08,2020,6
119 Drake Ave,SOUTH SAN FRANCISCO,94080,1198000,1221860,4,3.0,1941,1714,SINGLE_FAMILY,3920,0,360000,False,False,False,False,False,False,False,False,False,False,1198000,2020-09-20,2020-09,2020,4
6953 Stagecoach Dr #B,DUBLIN,94568,578000,596808,2,2.0,1992,1007,CONDO,5614,325,655000,True,True,False,False,False,False,False,False,False,False,578000,2020-09-05,2020-09,2020,7
761 Bonita Pl,SAN JOSE,95116,642888,655351,3,3.0,2005,1231,TOWNHOUSE,701,240,235000,True,True,False,False,False,False,False,False,False,False,642888,2020-09-18,2020-09,2020,3
955 Ridgeview Ct UNIT B,SOUTH SAN FRANCISCO,94080,679000,679663,2,1.0,1979,950,CONDO,87686,300,160000,True,True,False,False,False,False,False,False,False,False,679000,2020-09-10,2020-09,2020,4
2439 Greendale Dr,SOUTH SAN FRANCISCO,94080,679888,702012,2,1.0,1971,858,TOWNHOUSE,2500,280,655000,True,True,False,False,False,False,False,False,False,False,679888,2020-08-27,2020-08,2020,6
1010 E Santa Inez Ave,SAN MATEO,94401,1049000,1074585,2,1.0,1945,990,SINGLE_FAMILY,4059,0,960000,True,True,False,False,False,False,False,False,False,False,1049000,2020-09-17,2020-09,2020,6
550 Abbie St,PLEASANTON,94566,1599000,1618381,5,3.0,1990,3010,SINGLE_FAMILY,8341,0,866500,True,True,False,False,False,False,False,False,False,False,1599000,2020-09-24,2020-09,2020,7
1918 Casablanca St,DANVILLE,94506,1548800,1557485,4,4.0,2004,4074,SINGLE_FAMILY,6834,100,1083000,True,True,False,False,False,False,False,False,False,False,1548800,2020-09-24,2020-09,2020,9
3475 Deerwood Ter APT 302,FREMONT,94536,352351,352351,1,1.0,1984,714,CONDO,5614,532,400000,True,True,False,False,False,False,False,False,False,False,349000,2020-09-25,2020-09,2020,8
543 Ellery Pl,HAYWARD,94544,815000,866614,3,2.0,1955,1560,SINGLE_FAMILY,5000,0,655000,True,True,False,False,False,False,False,False,False,False,815000,2020-09-19,2020-09,2020,4
135 Shelterwood Ln,DANVILLE,94506,1525000,1525203,4,4.0,1998,2876,SINGLE_FAMILY,9021,160,1455000,True,True,False,False,False,False,False,False,False,False,1525000,2020-09-23,2020-09,2020,10
212 Entrada Plz,UNION CITY,94587,475000,479170,2,1.0,1986,710,CONDO,5614,325,159000,True,unknow,False,False,False,False,False,False,False,False,475000,2020-09-10,2020-09,2020,5
185 Hill Rd,BERKELEY,94708,1510000,1590802,2,3.0,1957,1476,SINGLE_FAMILY,10484,0,1350000,True,True,False,False,False,False,False,False,False,False,1510000,2020-09-21,2020-09,2020,7
3780 La Selva Dr,PALO ALTO,94306,1995000,2051623,2,1.0,1930,923,SINGLE_FAMILY,5850,0,655000,True,True,False,False,False,False,False,False,False,False,1995000,2020-09-09,2020-09,2020,8
1507 18th Ave,SAN FRANCISCO,94122,1495000,1346423,3,2.5,1930,2030,SINGLE_FAMILY,2374,0,1350000,True,True,False,False,False,False,False,False,False,False,1495000,2020-09-23,2020-09,2020,7
478 Madison Dr,SAN JOSE,95123,925000,966354,3,2.0,1968,1143,SINGLE_FAMILY,6046,0,759000,True,True,False,False,False,False,False,False,False,False,925000,2020-09-24,2020-09,2020,7
7225 Cronin Cir,DUBLIN,94568,579000,582726,2,2.0,1991,906,CONDO,906,400,535000,True,True,False,False,False,False,False,False,False,False,579000,2020-09-22,2020-09,2020,7
2623 Virginia St,BERKELEY,94709,1225000,1370394,4,4.0,1929,1875,SINGLE_FAMILY,1816,0,655000,True,True,False,False,False,False,False,False,False,False,1225000,2020-09-22,2020-09,2020,7
700 Blue Spruce Dr,DANVILLE,94506,1698000,1722782,4,3.0,1986,3534,SINGLE_FAMILY,6821,189,1550000,True,True,False,False,False,False,False,False,False,False,1698000,2020-09-16,2020-09,2020,9
700 S Abel St UNIT 409,MILPITAS,95035,759000,766016,2,2.0,2007,1108,CONDO,435,450,380000,True,True,False,False,False,False,False,False,False,False,759000,2020-09-21,2020-09,2020,8
518 Palm Ave,SOUTH SAN FRANCISCO,94080,1099518,1113882,4,4.0,1928,1980,SINGLE_FAMILY,4356,0,183000,True,True,False,False,False,False,False,False,False,False,1099518,2020-09-18,2020-09,2020,4
5880 Hillbrook Pl,DUBLIN,94568,999950,1017586,4,3.0,2008,2149,SINGLE_FAMILY,2827,194,655000,True,True,False,False,False,False,False,False,False,False,999950,2020-09-23,2020-09,2020,9
1442 Cedarwood Dr,SAN MATEO,94403,2150000,2234186,4,3.0,1975,2220,SINGLE_FAMILY,15002,0,1017500,True,True,False,False,False,False,False,False,False,False,2150000,2020-09-22,2020-09,2020,6
6035 Admiralty Pl,SAN JOSE,95123,895000,919331,3,3.0,1994,1328,SINGLE_FAMILY,2443,117,655000,True,True,False,False,False,False,False,False,False,False,895000,2020-09-18,2020-09,2020,4
47232 Cavanaugh Cmn,FREMONT,94539,1230000,1234880,3,4.0,2014,1771,TOWNHOUSE,1276,140,1140000,True,True,False,False,False,False,False,False,False,False,1230000,2020-09-23,2020-09,2020,9
3460 Pinewood Dr,HAYWARD,94542,1048000,1123859,3,3.0,1972,1928,SINGLE_FAMILY,12741,0,650000,True,True,False,False,False,False,False,False,False,False,1048000,2020-09-23,2020-09,2020,3
3209 Guido St,OAKLAND,94602,1249000,1253068,4,3.0,1951,2334,SINGLE_FAMILY,7348,0,769000,True,True,False,False,False,False,False,False,False,False,1249000,2020-09-19,2020-09,2020,3
1140 Empey Way,SAN JOSE,95128,1192000,1344745,3,2.0,1939,1667,SINGLE_FAMILY,8712,0,832000,True,True,False,False,False,False,False,False,False,False,1192000,2020-09-22,2020-09,2020,5
546 Palm Ave,SOUTH SAN FRANCISCO,94080,898000,918968,2,1.0,1929,1260,SINGLE_FAMILY,3998,0,655000,True,True,False,False,False,False,False,False,False,False,898000,2020-09-22,2020-09,2020,4
20488 Stevens Creek Blvd APT 1206,CUPERTINO,95014,799888,799899,1,1.0,2003,850,CONDO,17467560,461,730000,True,True,False,False,False,False,False,False,False,False,799888,2020-08-27,2020-08,2020,8
2514 Admiral Cir,HAYWARD,94545,965000,925266,3,3.0,2016,2047,SINGLE_FAMILY,2522,218,857500,True,True,False,False,False,False,False,False,False,False,965000,2020-09-24,2020-09,2020,4
3887 Kensington Ave,SANTA CLARA,95051,1688000,1829545,3,2.0,1963,1388,SINGLE_FAMILY,6708,0,1350000,True,True,False,False,False,False,False,False,False,False,1688000,2020-09-24,2020-09,2020,7
1416 Neilson St,BERKELEY,94702,1049000,1361262,3,2.0,1900,1437,SINGLE_FAMILY,5000,0,1325000,True,True,False,False,False,False,False,False,False,False,1049000,2020-09-25,2020-09,2020,8
7423 Brigadoon Way,DUBLIN,94568,624950,625451,2,2.0,1996,1103,CONDO,5614,325,625000,True,True,False,False,False,False,False,False,False,False,624950,2020-09-09,2020-09,2020,7
750 Edgewood Rd,SAN MATEO,94402,2575000,2775211,4,2.0,1927,2170,SINGLE_FAMILY,10402,0,1680000,True,True,False,False,False,False,False,False,False,False,2575000,2020-09-12,2020-09,2020,5
4532 Fernandez St,UNION CITY,94587,1549000,1567775,4,4.0,2009,3367,SINGLE_FAMILY,5000,0,655000,True,True,False,False,False,False,False,False,False,False,1549000,2020-09-16,2020-09,2020,5
193 Love Ln,DANVILLE,94526,2785000,2785023,6,4.0,1951,2703,SINGLE_FAMILY,10619,0,655000,True,True,False,False,False,False,False,False,False,False,2785000,2020-09-10,2020-09,2020,10
544 Sequoia Rd,HAYWARD,94541,684000,705361,3,2.0,1951,1467,SINGLE_FAMILY,5153,0,700000,True,True,False,False,False,False,False,False,False,False,700000,2020-08-13,2020-08,2020,4
1835 Woodland Ave,SANTA CLARA,95050,1475000,1551314,3,2.0,1950,1685,SINGLE_FAMILY,10044,0,655000,True,True,False,False,False,False,False,False,False,False,1475000,2020-09-21,2020-09,2020,7
5891 Indian Ave,SAN JOSE,95123,960000,1006451,4,2.0,1968,1640,SINGLE_FAMILY,5854,0,481000,True,False,False,False,False,False,False,False,False,False,960000,2020-09-23,2020-09,2020,7
1 Hardy Ct,DANVILLE,94526,1250000,1222553,3,4.0,2005,2071,SINGLE_FAMILY,4865,0,1195000,True,True,False,False,False,False,False,False,False,False,1250000,2020-09-24,2020-09,2020,9
1767 Foley Ave,SAN JOSE,95122,749999,833546,5,3.0,1959,1482,SINGLE_FAMILY,5227,0,484545,True,True,False,False,False,False,False,False,False,False,749999,2020-09-20,2020-09,2020,3
2719 Spindrift Ct,HAYWARD,94545,1399999,1440874,5,3.0,2003,3651,SINGLE_FAMILY,6011,42,1380000,True,True,False,False,False,False,False,False,False,False,1399999,2020-09-24,2020-09,2020,4
599 Park Meadow Dr,SAN JOSE,95129,1999888,2136775,5,3.0,1965,2239,SINGLE_FAMILY,6716,0,1251000,True,True,False,False,False,False,False,False,False,False,1999888,2020-09-23,2020-09,2020,8
476 Cheney Ave,OAKLAND,94610,1950000,2088082,6,7.0,1912,5208,SINGLE_FAMILY,5823,0,2200000,True,True,False,False,False,False,False,False,False,False,1950000,2020-09-21,2020-09,2020,5
404 N Kingston St,SAN MATEO,94401,1250000,1253687,4,2.0,1949,1500,SINGLE_FAMILY,5000,0,560000,True,True,False,False,False,False,False,False,False,False,1250000,2020-09-09,2020-09,2020,5
312 Jacaranda Dr,DANVILLE,94506,1145000,1145011,3,2.0,1981,1825,SINGLE_FAMILY,5823,283,960000,True,True,False,False,False,False,False,False,False,False,1145000,2020-09-16,2020-09,2020,9
402 Tamarack Dr,UNION CITY,94587,749000,766219,3,2.0,1956,1164,SINGLE_FAMILY,6551,0,287000,True,unknow,False,False,False,False,False,False,False,False,749000,2020-09-22,2020-09,2020,4
2210 Gellert Blvd APT 5312,SOUTH SAN FRANCISCO,94080,998000,1011971,3,2.0,2006,1290,CONDO,40166,446,710000,True,True,False,False,False,False,False,False,False,False,998000,2020-09-18,2020-09,2020,7
100 Ballatore Ct,SAN JOSE,95134,999900,1108618,3,3.0,1993,1405,TOWNHOUSE,953,354,522000,True,True,False,False,False,False,False,False,False,False,999900,2020-09-22,2020-09,2020,6
2550 26th Ave,SAN FRANCISCO,94116,1095000,1387969,2,1.0,1931,1550,SINGLE_FAMILY,2996,0,655000,True,True,False,False,False,False,False,False,False,False,1095000,2020-09-24,2020-09,2020,7
980 Kiely Blvd UNIT 324,SANTA CLARA,95051,389888,407276,1,1.0,1971,622,CONDO,435,495,272000,True,True,False,False,False,False,False,False,False,False,389888,2020-09-21,2020-09,2020,6
45 Curtis Ave,MILPITAS,95035,750000,762583,2,3.0,2005,1192,CONDO,970,318,455000,True,True,False,False,False,False,False,False,False,False,750000,2020-09-16,2020-09,2020,8
1101 Dufferin Ave,BURLINGAME,94010,1988888,2048965,4,3.0,1947,1800,SINGLE_FAMILY,6398,0,595000,True,True,False,False,False,False,False,False,False,False,1988888,2020-09-03,2020-09,2020,9
934 Kiely Blvd UNIT F,SANTA CLARA,95051,399000,405931,1,1.0,1971,440,CONDO,484,495,205000,True,True,False,False,False,False,False,False,False,False,399000,2020-08-31,2020-08,2020,7
1290 Ariel Dr,DANVILLE,94506,1695000,1706342,4,4.0,2005,3299,SINGLE_FAMILY,6307,100,1175000,True,True,False,False,False,False,False,False,False,False,1695000,2020-09-25,2020-09,2020,9
3318 Costa Dr,HAYWARD,94541,785000,925874,5,3.0,1954,2700,SINGLE_FAMILY,7784,0,535000,False,True,False,False,False,False,False,False,False,False,785000,2020-09-15,2020-09,2020,3
5507 Baldwin Way,PLEASANTON,94588,799000,808743,2,3.0,1991,1501,TOWNHOUSE,2326,415,595000,True,True,False,False,False,False,False,False,False,False,799000,2020-09-23,2020-09,2020,8
6630 S Mariposa Ln,DUBLIN,94568,850000,840340,4,4.0,2013,2002,CONDO,5614,235,603500,True,True,False,False,False,False,False,False,False,False,850000,2020-09-16,2020-09,2020,7
615 Glasgow Cir,DANVILLE,94526,1279950,1279960,4,3.0,1995,2813,SINGLE_FAMILY,5662,135,1050000,True,True,False,False,False,False,False,False,False,False,1279950,2020-09-15,2020-09,2020,9
312 Crown Cir,SOUTH SAN FRANCISCO,94080,998000,998009,2,3.0,1984,1490,TOWNHOUSE,2099,390,655000,True,True,False,False,False,False,False,False,False,False,998000,2020-09-20,2020-09,2020,6
407 Bayberry Way,MILPITAS,95035,1124950,1144599,3,3.0,1997,1536,TOWNHOUSE,2099,235,564000,True,True,False,False,False,False,False,False,False,False,1124950,2020-09-18,2020-09,2020,9
24123 Zorro Ct,HAYWARD,94541,524800,540102,3,1.0,1951,1272,SINGLE_FAMILY,6028,0,655000,unknow,True,False,False,False,False,False,False,False,False,524800,2020-09-23,2020-09,2020,3
2007 E St,HAYWARD,94541,850000,957794,4,2.0,1951,1928,SINGLE_FAMILY,9374,0,655000,True,True,False,False,False,False,False,False,False,False,850000,2020-09-23,2020-09,2020,3
1985 170th Ave,CASTRO VALLEY,94546,995000,1001858,3,3.0,1946,1814,SINGLE_FAMILY,4591,0,525000,True,True,False,False,False,False,False,False,False,False,995000,2020-06-24,2020-06,2020,2
123 Loma Vista Dr,BURLINGAME,94010,2388888,2474178,3,2.0,1950,1700,SINGLE_FAMILY,6176,0,1688000,True,True,False,False,False,False,False,False,False,False,2388888,2020-09-18,2020-09,2020,9
140 Panoramic Way,BERKELEY,94704,1295000,1342616,3,2.0,1976,2322,SINGLE_FAMILY,11800,0,435000,unknow,unknow,False,False,False,False,False,False,False,False,1295000,2020-09-21,2020-09,2020,7
4684 Rimini Ct,DUBLIN,94568,675000,682714,2,2.0,2007,1303,CONDO,5614,370,655000,True,True,False,False,False,False,False,False,False,False,675000,2020-09-22,2020-09,2020,9
156 Woodland Way,MILPITAS,95035,1125000,1191838,3,2.0,1969,1341,SINGLE_FAMILY,7866,0,655000,True,True,False,False,False,False,False,False,False,False,1125000,2020-09-21,2020-09,2020,8
164 Midcrest Way,SAN FRANCISCO,94131,1575000,1637861,3,2.0,1954,1383,SINGLE_FAMILY,3672,0,319000,True,True,False,False,False,False,False,False,False,False,1575000,2020-09-24,2020-09,2020,8
37072 Shasta St,FREMONT,94536,1298800,1353939,4,3.0,1962,1908,SINGLE_FAMILY,6499,0,705000,True,True,False,False,False,False,False,False,False,False,1298800,2020-09-22,2020-09,2020,8
22381 Moyers St,CASTRO VALLEY,94546,759500,756629,3,2.0,1949,1424,SINGLE_FAMILY,5100,0,615000,True,True,False,False,False,False,False,False,False,False,759500,2020-09-23,2020-09,2020,2
1509 Koch Ln,SAN JOSE,95125,1998000,2029034,5,3.0,1969,2686,SINGLE_FAMILY,11800,0,1375000,True,True,False,False,False,False,False,False,False,False,1998000,2020-09-23,2020-09,2020,5
149 California Ave #A306,PALO ALTO,94306,1398888,1411458,2,2.0,1982,1247,CONDO,871,46,1150000,True,True,False,False,False,False,False,False,False,False,1398888,2020-09-19,2020-09,2020,8
8778 Skyline Blvd,OAKLAND,94611,825000,967089,5,2.0,1958,1411,SINGLE_FAMILY,13159,0,655000,True,True,False,False,True,False,False,False,False,False,825000,2020-09-15,2020-09,2020,4
